Ins Auto Telemetry Data Record
Record Time: 2026-06-22T19:39:42.229537
============================================================

Trajectory Points: 578
Waypoints: 238

Trajectory Points (x, y, mode, timestamp):
  -0.08, 0.00, 4, 1782128289.0779736
  -4.50, 0.07, 4, 1782128289.1298287
  -10.50, 0.14, 4, 1782128289.2040195
  -10.80, 0.14, 4, 1782128289.2882898
  -10.48, 0.14, 4, 1782128289.3722289
  -10.40, 0.14, 4, 1782128289.4532897
  -10.13, 0.13, 4, 1782128289.5268283
  -9.84, 0.13, 4, 1782128289.6140275
  -9.81, 0.13, 4, 1782128289.6882417
  -10.00, 0.14, 4, 1782128289.773458
  -10.05, 0.14, 4, 1782128289.8551035
  -9.81, 0.14, 4, 1782128289.9300172
  -9.39, 0.13, 4, 1782128290.013675
  -9.34, 0.13, 4, 1782128290.101785
  -9.62, 0.13, 4, 1782128290.1648352
  -9.95, 0.14, 4, 1782128290.2492938
  -10.00, 0.14, 4, 1782128290.3265467
  -9.94, 0.14, 4, 1782128290.409836
  -9.87, 0.14, 4, 1782128290.4836287
  -9.87, 0.14, 4, 1782128290.5676491
  -9.90, 0.14, 4, 1782128290.6510236
  -9.89, 0.14, 4, 1782128290.7484672
  -9.81, 0.14, 4, 1782128290.8121858
  -9.78, 0.14, 4, 1782128290.8856583
  -9.78, 0.14, 4, 1782128290.9703226
  -9.78, 0.14, 4, 1782128291.0529842
  -9.71, 0.14, 4, 1782128291.126897
  -9.63, 0.14, 4, 1782128291.1975105
  -9.60, 0.14, 4, 1782128291.2921023
  -9.62, 0.14, 4, 1782128291.3705037
  -9.63, 0.14, 4, 1782128291.4452035
  -9.63, 0.14, 4, 1782128291.5293005
  -9.63, 0.14, 4, 1782128291.6209662
  -9.63, 0.14, 4, 1782128291.6846595
  -9.58, 0.14, 4, 1782128291.7688634
  -9.52, 0.13, 4, 1782128291.8450649
  -9.54, 0.14, 4, 1782128291.9281526
  -9.60, 0.14, 4, 1782128292.0203547
  -9.60, 0.14, 4, 1782128292.0871665
  -9.60, 0.14, 4, 1782128292.1707306
  -9.60, 0.14, 4, 1782128292.2599962
  -9.60, 0.14, 4, 1782128292.3228388
  -9.60, 0.14, 4, 1782128292.4070182
  -9.44, 0.13, 4, 1782128292.4837706
  -9.17, 0.13, 4, 1782128292.567509
  -9.17, 0.13, 4, 1782128292.6627946
  -9.17, 0.13, 4, 1782128292.728241
  -9.17, 0.13, 4, 1782128292.8126628
  -9.12, 0.13, 4, 1782128292.8864892
  -9.12, 0.13, 4, 1782128292.9723563
  -9.12, 0.13, 4, 1782128293.0456393
  -9.12, 0.13, 4, 1782128293.135331
  -9.12, 0.13, 4, 1782128293.2093184
  -9.12, 0.13, 4, 1782128293.293683
  -9.12, 0.13, 4, 1782128293.3654208
  -9.09, 0.13, 4, 1782128293.4495797
  -9.09, 0.13, 4, 1782128293.5665321
  -9.09, 0.13, 4, 1782128293.6090543
  -9.09, 0.13, 4, 1782128293.6932428
  -9.09, 0.13, 4, 1782128293.7809894
  -9.09, 0.13, 4, 1782128293.844997
  -9.09, 0.13, 4, 1782128293.9294746
  -9.09, 0.13, 4, 1782128294.0124283
  -9.09, 0.13, 4, 1782128294.0866647
  -9.09, 0.13, 4, 1782128294.179532
  -9.09, 0.13, 4, 1782128294.251714
  -9.09, 0.13, 4, 1782128294.325048
  -9.06, 0.12, 4, 1782128294.4360092
  -9.01, 0.12, 4, 1782128294.4890184
  -9.01, 0.12, 4, 1782128294.574577
  -9.01, 0.12, 4, 1782128294.65295
  -9.01, 0.12, 4, 1782128294.7250144
  -9.01, 0.12, 4, 1782128294.809368
  -9.01, 0.12, 4, 1782128294.8894687
  -9.01, 0.12, 4, 1782128294.9732535
  -9.01, 0.12, 4, 1782128295.051838
  -9.01, 0.12, 4, 1782128295.126914
  -9.01, 0.12, 4, 1782128295.2107062
  -9.01, 0.12, 4, 1782128295.2990413
