Ins Auto Telemetry Data Record
Record Time: 2026-06-23T21:29:35.984625
============================================================

Trajectory Points: 55
Waypoints: 0

Trajectory Points (x, y, mode, timestamp):
  -532.77, 260.16, 4, 1782221371.5453694
  -521.22, 261.14, 4, 1782221371.656982
  -508.59, 262.19, 4, 1782221371.6991854
  -496.20, 263.21, 4, 1782221371.7803037
  -484.07, 264.20, 4, 1782221371.8831024
  -472.09, 265.16, 4, 1782221371.945636
  -460.29, 266.12, 4, 1782221372.104213
  -448.27, 267.11, 4, 1782221372.106118
  -436.77, 268.06, 4, 1782221372.1795151
  -426.38, 268.94, 4, 1782221372.319983
  -416.33, 269.79, 4, 1782221372.341301
  -406.48, 270.62, 4, 1782221372.4313087
  -396.72, 271.43, 4, 1782221372.5320938
  -386.93, 272.25, 4, 1782221372.584535
  -377.01, 273.09, 4, 1782221372.7534955
  -366.95, 273.92, 4, 1782221372.7536414
  -355.73, 274.85, 4, 1782221372.8175726
  -343.54, 275.86, 4, 1782221372.9643157
  -330.95, 276.89, 4, 1782221372.9860969
  -318.03, 277.95, 4, 1782221373.0587964
  -304.66, 279.01, 4, 1782221373.199233
  -290.99, 280.09, 4, 1782221373.220119
  -276.70, 281.24, 4, 1782221373.3051882
  -262.27, 282.38, 4, 1782221373.4074125
  -247.91, 283.49, 4, 1782221373.4592354
  -233.12, 284.63, 4, 1782221373.624686
  -217.71, 285.78, 4, 1782221373.625022
  -201.79, 286.97, 4, 1782221373.697872
  -185.05, 288.23, 4, 1782221373.8345509
  -167.68, 289.56, 4, 1782221373.866427
  -150.09, 290.89, 4, 1782221373.9498146
  -135.65, 291.96, 4, 1782221374.054657
  -133.01, 292.15, 4, 1782221374.107889
  -145.62, 291.29, 4, 1782221374.269303
  -173.75, 289.74, 4, 1782221374.272539
  -216.92, 288.29, 4, 1782221374.3461537
  -273.46, 287.73, 4, 1782221374.4783852
  -339.92, 288.53, 4, 1782221374.4992676
  -413.23, 290.82, 4, 1782221374.576211
  -485.97, 294.02, 4, 1782221374.6957211
  -549.24, 297.09, 4, 1782221374.7373343
  -597.82, 299.23, 4, 1782221374.9234345
  -629.18, 300.27, 4, 1782221374.925992
  -643.82, 300.59, 4, 1782221374.9781916
  -646.86, 300.64, 4, 1782221375.1348786
  -643.02, 300.62, 4, 1782221375.1457424
  -634.84, 300.65, 4, 1782221375.2268574
  -626.47, 300.73, 4, 1782221375.3385067
  -621.96, 300.79, 4, 1782221375.3806517
  -623.00, 300.77, 4, 1782221375.5573597
  -634.15, 300.53, 4, 1782221375.5574791
  -658.94, 299.72, 4, 1782221375.6201503
  -695.52, 297.99, 4, 1782221375.7862527
  -740.53, 295.38, 4, 1782221375.7886395
  -796.34, 291.81, 4, 1782221375.8681738

Waypoints (x, y):

Raw Data Log:
  [2026-06-23T21:29:04.496203] I: {'ins_mode': 4, 'realtime_x': -4554.16, 'realtime_y': -88.11, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.579337] I: {'ins_mode': 4, 'realtime_x': -4598.79, 'realtime_y': -90.33, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.670725] I: {'ins_mode': 4, 'realtime_x': -4643.58, 'realtime_y': -92.62, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.741650] I: {'ins_mode': 4, 'realtime_x': -4688.83, 'realtime_y': -95.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.814871] I: {'ins_mode': 4, 'realtime_x': -4735.15, 'realtime_y': -97.71, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.944308] I: {'ins_mode': 4, 'realtime_x': -4787.49, 'realtime_y': -101.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.975556] I: {'ins_mode': 4, 'realtime_x': -4854.06, 'realtime_y': -105.52, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.058017] I: {'ins_mode': 4, 'realtime_x': -4933.72, 'realtime_y': -110.67, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.162902] I: {'ins_mode': 4, 'realtime_x': -5018.75, 'realtime_y': -116.31, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.214804] I: {'ins_mode': 4, 'realtime_x': -5097.72, 'realtime_y': -122.14, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.311267] I: {'ins_mode': 4, 'realtime_x': -5164.53, 'realtime_y': -127.28, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.382775] I: {'ins_mode': 4, 'realtime_x': -5221.03, 'realtime_y': -131.74, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.457130] I: {'ins_mode': 4, 'realtime_x': -5263.73, 'realtime_y': -135.09, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.532658] I: {'ins_mode': 4, 'realtime_x': -5295.61, 'realtime_y': -137.37, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.617464] I: {'ins_mode': 4, 'realtime_x': -5318.54, 'realtime_y': -138.94, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
