Ins Auto Telemetry Data Record
Record Time: 2026-06-23T21:30:50.434808
============================================================

Trajectory Points: 0
Waypoints: 0

Trajectory Points (x, y, mode, timestamp):

Waypoints (x, y):

Raw Data Log:
  [2026-06-23T21:29:04.496203] I: {'ins_mode': 4, 'realtime_x': -4554.16, 'realtime_y': -88.11, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.579337] I: {'ins_mode': 4, 'realtime_x': -4598.79, 'realtime_y': -90.33, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.670725] I: {'ins_mode': 4, 'realtime_x': -4643.58, 'realtime_y': -92.62, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.741650] I: {'ins_mode': 4, 'realtime_x': -4688.83, 'realtime_y': -95.05, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.814871] I: {'ins_mode': 4, 'realtime_x': -4735.15, 'realtime_y': -97.71, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.944308] I: {'ins_mode': 4, 'realtime_x': -4787.49, 'realtime_y': -101.03, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:04.975556] I: {'ins_mode': 4, 'realtime_x': -4854.06, 'realtime_y': -105.52, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.058017] I: {'ins_mode': 4, 'realtime_x': -4933.72, 'realtime_y': -110.67, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.162902] I: {'ins_mode': 4, 'realtime_x': -5018.75, 'realtime_y': -116.31, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.214804] I: {'ins_mode': 4, 'realtime_x': -5097.72, 'realtime_y': -122.14, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.311267] I: {'ins_mode': 4, 'realtime_x': -5164.53, 'realtime_y': -127.28, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.382775] I: {'ins_mode': 4, 'realtime_x': -5221.03, 'realtime_y': -131.74, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.457130] I: {'ins_mode': 4, 'realtime_x': -5263.73, 'realtime_y': -135.09, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.532658] I: {'ins_mode': 4, 'realtime_x': -5295.61, 'realtime_y': -137.37, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.617464] I: {'ins_mode': 4, 'realtime_x': -5318.54, 'realtime_y': -138.94, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.701389] I: {'ins_mode': 4, 'realtime_x': -5337.66, 'realtime_y': -140.22, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.819258] I: {'ins_mode': 4, 'realtime_x': -5360.1, 'realtime_y': -141.82, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.861836] I: {'ins_mode': 4, 'realtime_x': -5391.06, 'realtime_y': -144.08, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:05.935394] I: {'ins_mode': 4, 'realtime_x': -5432.29, 'realtime_y': -146.93, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
