type,x,y,ins_mode,dis_ins,yaw_ins,n,target,flag_save,comment
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.5,-2.6,0,0.0,0.0,0,1,1,
I,192.6,-2.6,0,0.0,0.0,0,1,1,
I,192.7,-2.6,0,0.0,0.0,0,1,1,
I,192.7,-2.6,0,0.0,0.0,0,1,1,
I,193.4,-2.7,0,0.0,0.0,0,1,1,
I,195.8,-2.9,0,0.0,0.0,0,1,1,
I,199.7,-3.4,0,0.0,0.0,0,1,1,
