type,x,y,ins_mode,dis_ins,yaw_ins,n,target,flag_save,comment
I,0.0,0.0,0,0.0,0.0,0,1,0,
I,-1.9,0.0,0,0.0,0.0,0,1,0,
I,-13.5,0.1,0,0.0,0.0,0,1,0,
I,-35.1,0.2,0,0.0,0.0,0,1,0,
I,-63.1,0.5,0,0.0,0.0,0,1,0,
I,-93.5,0.8,0,0.0,0.0,0,1,0,
I,-126.8,0.9,0,0.0,0.0,0,1,0,
I,-163.5,1.0,0,0.0,0.0,0,1,0,
I,-201.5,2.1,0,0.0,0.0,0,1,0,
I,-237.6,4.3,0,0.0,0.0,0,1,0,
I,-270.8,6.6,0,0.0,0.0,0,1,0,
I,-302.5,8.6,0,0.0,0.0,0,1,0,
I,-332.7,10.6,0,0.0,0.0,0,1,0,
I,-361.6,12.4,0,0.0,0.0,0,1,0,
I,-390.3,14.0,0,0.0,0.0,0,1,0,
I,-420.1,15.5,0,0.0,0.0,0,1,0,
I,-452.4,16.9,0,0.0,0.0,0,1,0,
I,-487.6,18.2,0,0.0,0.0,0,1,0,
I,-525.1,19.8,0,0.0,0.0,0,1,0,
I,-564.6,21.4,0,0.0,0.0,0,1,0,
I,-605.1,23.3,0,0.0,0.0,0,1,0,
I,-645.1,25.5,0,0.0,0.0,0,1,0,
I,-683.5,27.7,0,0.0,0.0,0,1,0,
I,-719.3,29.8,0,0.0,0.0,0,1,0,
I,-751.8,31.8,0,0.0,0.0,0,1,0,
I,-780.7,33.7,0,0.0,0.0,0,1,0,
I,-806.2,35.4,0,0.0,0.0,0,1,0,
I,-828.5,37.0,0,0.0,0.0,0,1,0,
I,-848.2,38.4,0,0.0,0.0,0,1,0,
I,-865.5,39.6,0,0.0,0.0,0,1,0,
I,-880.9,40.7,0,0.0,0.0,0,1,0,
I,-894.9,41.7,0,0.0,0.0,0,1,0,
I,-908.3,42.6,0,0.0,0.0,0,1,0,
I,-921.8,43.4,0,0.0,0.0,0,1,0,
I,-936.5,44.2,0,0.0,0.0,0,1,0,
I,-953.5,45.1,0,0.0,0.0,0,1,0,
I,-973.6,45.9,0,0.0,0.0,0,1,0,
I,-997.6,47.0,0,0.0,0.0,0,1,0,
I,-1025.3,48.1,0,0.0,0.0,0,1,0,
I,-1056.7,49.5,0,0.0,0.0,0,1,0,
I,-1091.6,51.0,0,0.0,0.0,0,1,0,
I,-1129.0,52.7,0,0.0,0.0,0,1,0,
I,-1167.5,54.7,0,0.0,0.0,0,1,0,
I,-1206.5,57.0,0,0.0,0.0,0,1,0,
I,-1244.8,59.7,0,0.0,0.0,0,1,0,
I,-1281.5,62.5,0,0.0,0.0,0,1,0,
I,-1315.8,65.3,0,0.0,0.0,0,1,0,
I,-1347.0,67.9,0,0.0,0.0,0,1,0,
I,-1374.4,70.3,0,0.0,0.0,0,1,0,
I,-1397.8,72.5,0,0.0,0.0,0,1,0,
I,-1417.2,74.4,0,0.0,0.0,0,1,0,
I,-1433.2,75.9,0,0.0,0.0,0,1,0,
I,-1447.8,77.3,0,0.0,0.0,0,1,0,
I,-1462.3,78.7,0,0.0,0.0,0,1,0,
I,-1476.5,80.0,0,0.0,0.0,0,1,0,
I,-1489.9,81.3,0,0.0,0.0,0,1,0,
I,-1502.4,82.4,0,0.0,0.0,0,1,0,
I,-1514.4,83.5,0,0.0,0.0,0,1,0,
I,-1526.4,84.5,0,0.0,0.0,0,1,0,
I,-1538.8,85.6,0,0.0,0.0,0,1,0,
I,-1551.7,86.7,0,0.0,0.0,0,1,0,
I,-1564.9,87.8,0,0.0,0.0,0,1,0,
I,-1578.4,89.0,0,0.0,0.0,0,1,0,
I,-1592.4,90.1,0,0.0,0.0,0,1,0,
I,-1606.8,91.3,0,0.0,0.0,0,1,0,
I,-1621.5,92.5,0,0.0,0.0,0,1,0,
I,-1636.7,93.7,0,0.0,0.0,0,1,0,
I,-1652.0,95.0,0,0.0,0.0,0,1,0,
I,-1667.1,96.3,0,0.0,0.0,0,1,0,
I,-1681.6,97.6,0,0.0,0.0,0,1,0,
I,-1695.6,98.7,0,0.0,0.0,0,1,0,
I,-1709.2,99.8,0,0.0,0.0,0,1,0,
I,-1722.4,100.9,0,0.0,0.0,0,1,0,
I,-1735.3,101.9,0,0.0,0.0,0,1,0,
I,-1748.2,102.9,0,0.0,0.0,0,1,0,
I,-1761.2,103.8,0,0.0,0.0,0,1,0,
I,-1774.1,104.7,0,0.0,0.0,0,1,0,
I,-1787.1,105.6,0,0.0,0.0,0,1,0,
I,-1800.5,106.5,0,0.0,0.0,0,1,0,
I,-1814.9,107.4,0,0.0,0.0,0,1,0,
I,-1830.1,108.4,0,0.0,0.0,0,1,0,
I,-1846.4,109.4,0,0.0,0.0,0,1,0,
I,-1864.9,110.5,0,0.0,0.0,0,1,0,
I,-1886.5,111.8,0,0.0,0.0,0,1,0,
I,-1911.2,113.3,0,0.0,0.0,0,1,0,
I,-1938.8,115.1,0,0.0,0.0,0,1,0,
I,-1969.5,117.2,0,0.0,0.0,0,1,0,
I,-2003.5,119.4,0,0.0,0.0,0,1,0,
I,-2040.2,121.8,0,0.0,0.0,0,1,0,
I,-2078.9,124.4,0,0.0,0.0,0,1,0,
I,-2119.2,127.1,0,0.0,0.0,0,1,0,
I,-2160.9,130.0,0,0.0,0.0,0,1,0,
I,-2203.3,133.0,0,0.0,0.0,0,1,0,
I,-2245.1,136.1,0,0.0,0.0,0,1,0,
I,-2285.1,139.2,0,0.0,0.0,0,1,0,
I,-2322.7,142.1,0,0.0,0.0,0,1,0,
I,-2358.0,144.8,0,0.0,0.0,0,1,0,
I,-2390.4,147.4,0,0.0,0.0,0,1,0,
I,-2419.4,149.8,0,0.0,0.0,0,1,0,
I,-2444.7,152.0,0,0.0,0.0,0,1,0,
I,-2465.9,153.9,0,0.0,0.0,0,1,0,
I,-2482.8,155.5,0,0.0,0.0,0,1,0,
I,-2495.8,156.8,0,0.0,0.0,0,1,0,
I,-2505.7,157.8,0,0.0,0.0,0,1,0,
I,-2512.6,158.5,0,0.0,0.0,0,1,0,
I,-2517.1,158.9,0,0.0,0.0,0,1,0,
I,-2518.9,159.1,0,0.0,0.0,0,1,0,
I,-2519.2,159.1,0,0.0,0.0,0,1,0,
I,-2518.7,159.1,0,0.0,0.0,0,1,0,
I,-2517.3,158.9,0,0.0,0.0,0,1,0,
I,-2514.9,158.7,0,0.0,0.0,0,1,0,
I,-2513.3,158.5,0,0.0,0.0,0,1,0,
I,-2513.6,158.6,0,0.0,0.0,0,1,0,
I,-2514.3,158.6,0,0.0,0.0,0,1,0,
I,-2514.3,158.6,0,0.0,0.0,0,1,0,
I,-2514.3,158.6,0,0.0,0.0,0,1,0,
I,-2519.9,159.2,0,0.0,0.0,0,1,0,
I,-2535.5,160.6,0,0.0,0.0,0,1,0,
I,-2558.8,162.4,0,0.0,0.0,0,1,0,
I,-2588.0,164.8,0,0.0,0.0,0,1,0,
I,-2622.4,167.7,0,0.0,0.0,0,1,0,
I,-2660.7,170.8,0,0.0,0.0,0,1,0,
I,-2702.2,174.1,0,0.0,0.0,0,1,0,
I,-2746.1,177.6,0,0.0,0.0,0,1,0,
I,-2790.8,181.4,0,0.0,0.0,0,1,0,
I,-2835.2,185.2,0,0.0,0.0,0,1,0,
