acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,kf_roll,kf_pitch,Xk0,Xk1,Pk0,Pk1,Q0,R0
221,304,-4087,-63,0,0,-0.559,-3.111,-0.07258,-0.052558,0.024393,0.024398,1e-05,0.05
238,294,-4087,-54,4,2,-0.553,-3.215,-0.072483,-0.05436,0.016399,0.016402,1e-05,0.05
193,292,-4085,23,-5,-2,-0.578,-3.493,-0.072921,-0.059222,0.001374,0.001374,1e-05,0.05
236,253,-4106,4,2,-4,-0.43,-3.361,-0.070343,-0.056916,0.001156,0.001156,1e-05,0.05
266,327,-4114,15,-2,12,-0.423,-3.408,-0.070218,-0.05773,0.00103,0.00103,1e-05,0.05
206,280,-4111,6,-6,14,-0.433,-3.356,-0.070391,-0.056822,0.000928,0.000929,1e-05,0.05
246,251,-4103,21,1,6,-0.34,-3.323,-0.06877,-0.056257,0.000871,0.000872,1e-05,0.05
248,248,-4110,42,-1,-7,-0.185,-3.403,-0.066068,-0.057643,0.000826,0.000827,1e-05,0.05
222,238,-4098,50,-2,-9,0.002,-3.355,-0.062795,-0.056804,0.000791,0.000792,1e-05,0.05
234,188,-4119,15,-2,7,0.197,-3.342,-0.059389,-0.056589,0.000768,0.000769,1e-05,0.05
240,204,-4118,-7,-1,-7,0.285,-3.36,-0.05785,-0.056906,0.000751,0.000752,1e-05,0.05
220,210,-4115,-22,-4,-13,0.307,-3.328,-0.057473,-0.056336,0.000739,0.000739,1e-05,0.05
247,199,-4116,-46,-3,0,0.294,-3.344,-0.057706,-0.056616,0.00073,0.00073,1e-05,0.05
224,237,-4116,-59,-6,-2,0.193,-3.313,-0.059468,-0.056084,0.000723,0.000723,1e-05,0.05
243,252,-4112,-66,0,-11,0.047,-3.32,-0.062012,-0.056191,0.000718,0.000718,1e-05,0.05
235,284,-4101,-65,2,-31,-0.138,-3.344,-0.065242,-0.056624,0.000714,0.000715,1e-05,0.05
236,285,-4113,-52,-3,-34,-0.272,-3.338,-0.067579,-0.056519,0.000711,0.000714,1e-05,0.05
213,305,-4091,-6,0,0,-0.372,-3.328,-0.06932,-0.056339,0.000709,0.000711,1e-05,0.05
236,311,-4087,29,-2,9,-0.384,-3.31,-0.069538,-0.056018,0.000707,0.000709,1e-05,0.05
213,307,-4105,43,-6,8,-0.334,-3.295,-0.068654,-0.055756,0.000706,0.000707,1e-05,0.05
256,289,-4105,24,0,4,-0.278,-3.305,-0.067683,-0.055933,0.000705,0.000706,1e-05,0.05
214,257,-4112,26,-9,11,-0.203,-3.297,-0.066382,-0.055801,0.000704,0.000705,1e-05,0.05
237,262,-4098,39,2,3,-0.098,-3.275,-0.064542,-0.055413,0.000704,0.000705,1e-05,0.05
248,257,-4114,22,2,-9,-0.021,-3.328,-0.063195,-0.056348,0.000703,0.000704,1e-05,0.05
223,236,-4121,-7,-3,-12,0.034,-3.319,-0.062231,-0.05619,0.000703,0.000704,1e-05,0.05
229,228,-4116,-20,-6,0,0.054,-3.297,-0.061898,-0.055798,0.000703,0.000703,1e-05,0.05
235,262,-4102,-12,-4,6,0.01,-3.314,-0.06265,-0.056096,0.000703,0.000703,1e-05,0.05
230,267,-4099,17,-1,-8,0.013,-3.287,-0.062605,-0.055622,0.000703,0.000703,1e-05,0.05
246,274,-4109,9,-1,-17,0.015,-3.331,-0.062571,-0.056397,0.000702,0.000703,1e-05,0.05
203,240,-4118,7,-6,0,0.043,-3.304,-0.062086,-0.055913,0.000702,0.000703,1e-05,0.05
238,265,-4098,30,-3,16,0.096,-3.264,-0.061163,-0.055215,0.000702,0.000703,1e-05,0.05
255,277,-4098,38,3,-9,0.144,-3.309,-0.060318,-0.056002,0.000702,0.000703,1e-05,0.05
203,235,-4122,42,-5,-16,0.225,-3.306,-0.058905,-0.055952,0.000702,0.000703,1e-05,0.05
230,216,-4114,26,-2,12,0.321,-3.269,-0.057234,-0.055307,0.000702,0.000703,1e-05,0.05
242,235,-4112,15,-4,13,0.383,-3.281,-0.056145,-0.055526,0.000702,0.000703,1e-05,0.05
232,240,-4097,34,-2,-20,0.417,-3.288,-0.055546,-0.055647,0.000702,0.000703,1e-05,0.05
226,223,-4105,55,-6,-2,0.524,-3.282,-0.053678,-0.055544,0.000702,0.000703,1e-05,0.05
209,210,-4128,12,-2,3,0.581,-3.287,-0.052687,-0.055616,0.000702,0.000703,1e-05,0.05
250,197,-4100,26,-3,-16,0.631,-3.272,-0.051813,-0.05537,0.000702,0.000703,1e-05,0.05
207,177,-4121,10,20,0,0.777,-3.283,-0.049275,-0.055558,0.000702,0.000703,1e-05,0.05
256,212,-4118,-6,-9,-4,0.742,-3.283,-0.049873,-0.055557,0.000702,0.000703,1e-05,0.05
217,147,-4115,-1,2,-8,0.838,-3.284,-0.048207,-0.055565,0.000702,0.000703,1e-05,0.05
254,203,-4117,-25,1,-4,0.808,-3.296,-0.048733,-0.055783,0.000702,0.000703,1e-05,0.05
223,161,-4104,9,-10,0,0.832,-3.296,-0.048316,-0.055775,0.000702,0.000703,1e-05,0.05
225,192,-4112,-48,9,12,0.854,-3.267,-0.04792,-0.055281,0.000702,0.000703,1e-05,0.05
238,159,-4128,-78,-16,8,0.676,-3.323,-0.051026,-0.056246,0.000702,0.000703,1e-05,0.05
226,188,-4102,-66,-3,-18,0.592,-3.299,-0.052499,-0.055824,0.000702,0.000703,1e-05,0.05
228,226,-4106,-79,8,-13,0.408,-3.328,-0.055718,-0.056339,0.000702,0.000703,1e-05,0.05
237,258,-4120,-83,-5,0,0.205,-3.327,-0.059248,-0.056329,0.000702,0.000703,1e-05,0.05
220,308,-4084,-28,-1,-6,-0.035,-3.305,-0.06345,-0.055932,0.000702,0.000703,1e-05,0.05
244,333,-4086,18,1,-2,-0.15,-3.31,-0.065442,-0.056019,0.000702,0.000703,1e-05,0.05
232,309,-4097,42,-5,6,-0.16,-3.314,-0.065622,-0.056101,0.000702,0.000703,1e-05,0.05
222,275,-4108,42,-3,10,-0.113,-3.289,-0.064811,-0.055654,0.000702,0.000703,1e-05,0.05
238,254,-4108,39,-2,10,-0.02,-3.292,-0.063182,-0.055714,0.000702,0.000703,1e-05,0.05
233,245,-4113,38,-2,4,0.086,-3.301,-0.061327,-0.055876,0.000702,0.000703,1e-05,0.05
243,210,-4117,18,2,-9,0.214,-3.316,-0.059102,-0.056129,0.000702,0.000703,1e-05,0.05
235,193,-4120,-11,-3,-13,0.321,-3.335,-0.057221,-0.056469,0.000702,0.000703,1e-05,0.05
228,196,-4120,-44,-2,-9,0.319,-3.323,-0.057269,-0.056258,0.000702,0.000703,1e-05,0.05
223,220,-4117,-44,-7,11,0.265,-3.293,-0.058212,-0.055724,0.000702,0.000703,1e-05,0.05
255,284,-4100,-25,-1,1,0.14,-3.301,-0.060384,-0.055868,0.000702,0.000703,1e-05,0.05
243,288,-4098,2,4,-29,0.044,-3.36,-0.062066,-0.056905,0.000702,0.000703,1e-05,0.05
200,281,-4102,26,-5,-2,0.029,-3.302,-0.062322,-0.055877,0.000702,0.000704,1e-05,0.05
246,276,-4096,31,-4,26,0.055,-3.304,-0.061865,-0.055913,0.000702,0.000704,1e-05,0.05
226,276,-4112,38,-7,11,0.088,-3.3,-0.0613,-0.055843,0.000702,0.000704,1e-05,0.05
245,235,-4104,49,5,-13,0.196,-3.309,-0.059409,-0.056011,0.000702,0.000704,1e-05,0.05
221,206,-4115,36,-4,10,0.352,-3.323,-0.056693,-0.05625,0.000702,0.000703,1e-05,0.05
236,224,-4108,24,-3,12,0.435,-3.287,-0.055237,-0.055627,0.000702,0.000703,1e-05,0.05
245,216,-4110,24,1,-3,0.509,-3.322,-0.053941,-0.056228,0.000702,0.000703,1e-05,0.05
225,196,-4110,20,1,-2,0.601,-3.321,-0.052347,-0.056223,0.000702,0.000703,1e-05,0.05
235,183,-4125,-8,-3,-2,0.663,-3.308,-0.051258,-0.055997,0.000702,0.000703,1e-05,0.05
225,218,-4115,-23,-3,3,0.634,-3.306,-0.051764,-0.055959,0.000702,0.000703,1e-05,0.05
241,246,-4101,5,-3,-3,0.575,-3.299,-0.052793,-0.055831,0.000702,0.000702,1e-05,0.05
245,237,-4100,23,4,-19,0.563,-3.331,-0.053005,-0.0564,0.000702,0.000703,1e-05,0.05
205,225,-4124,9,-4,-23,0.587,-3.336,-0.052587,-0.056485,0.000702,0.000703,1e-05,0.05
223,173,-4091,29,-13,50,0.644,-3.267,-0.051599,-0.055283,0.000702,0.000704,1e-05,0.05
245,237,-4118,20,1,26,0.74,-3.298,-0.04992,-0.055816,0.000702,0.000706,1e-05,0.05
252,200,-4122,-24,-4,0,0.696,-3.297,-0.050682,-0.055804,0.000702,0.000706,1e-05,0.05
214,141,-4096,21,2,-29,0.755,-3.331,-0.049646,-0.05639,0.000702,0.000708,1e-05,0.05
216,196,-4129,-19,1,14,0.836,-3.326,-0.048243,-0.056296,0.000702,0.000707,1e-05,0.05
257,261,-4093,-10,-10,3,0.76,-3.284,-0.049563,-0.055578,0.000702,0.000708,1e-05,0.05
243,203,-4120,22,14,-24,0.753,-3.326,-0.049684,-0.056298,0.000702,0.000707,1e-05,0.05
217,252,-4125,13,-9,14,0.743,-3.341,-0.049872,-0.056574,0.000702,0.000706,1e-05,0.05
238,214,-4098,32,-2,4,0.727,-3.298,-0.050143,-0.055814,0.000702,0.000705,1e-05,0.05
251,204,-4093,39,-3,4,0.811,-3.338,-0.048673,-0.056517,0.000702,0.000704,1e-05,0.05
259,190,-4113,26,-38,37,0.918,-3.278,-0.046802,-0.055474,0.000702,0.000706,1e-05,0.05
218,81,-4063,-56,13,-20,0.943,-3.32,-0.046375,-0.056194,0.000702,0.000705,1e-05,0.05
271,210,-4107,60,-17,-49,0.979,-3.449,-0.045751,-0.058455,0.000702,0.000708,1e-05,0.05
160,30,-4231,-129,-24,10,0.988,-3.284,-0.045582,-0.055563,0.000702,0.000707,1e-05,0.05
48,103,-4011,-61,-82,57,0.949,-2.827,-0.046263,-0.047601,0.000702,0.000712,1e-05,0.05
385,195,-4057,-63,119,-33,0.877,-3.214,-0.04753,-0.054354,0.000702,0.000711,1e-05,0.05
127,359,-4119,31,11,-75,0.584,-3.391,-0.052634,-0.057435,0.000702,0.000718,1e-05,0.05
262,142,-4132,-15,129,-16,0.606,-3.326,-0.052257,-0.056312,0.000702,0.000718,1e-05,0.05
703,331,-4615,190,-110,50,0.627,-3.177,-0.051882,-0.053703,0.000702,0.000723,1e-05,0.05
-307,58,-3762,-131,-132,-16,0.629,-3.042,-0.051853,-0.05134,0.000702,0.000722,1e-05,0.05
174,563,-3923,191,34,-80,0.426,-2.441,-0.055391,-0.040854,0.000702,0.000721,1e-05,0.05
315,-84,-4091,-35,40,50,0.914,-2.93,-0.046884,-0.049395,0.000702,0.000718,1e-05,0.05
109,231,-4091,59,-50,39,1.059,-2.913,-0.044344,-0.049101,0.000702,0.000719,1e-05,0.05
207,125,-4110,4,-5,-14,1.251,-2.799,-0.041001,-0.047105,0.000702,0.000715,1e-05,0.05
270,146,-4099,0,24,-21,1.253,-3.027,-0.040964,-0.05108,0.000702,0.000713,1e-05,0.05
139,146,-4125,-4,-31,-3,1.286,-2.874,-0.040391,-0.048415,0.000702,0.00071,1e-05,0.05
232,162,-4086,-4,15,0,1.283,-2.882,-0.040432,-0.048553,0.000702,0.000708,1e-05,0.05
185,177,-4122,-8,-11,-7,1.255,-2.922,-0.040936,-0.049249,0.000702,0.000707,1e-05,0.05
180,175,-4101,-6,-1,11,1.223,-2.822,-0.041486,-0.047513,0.000702,0.000706,1e-05,0.05
231,202,-4114,-4,-7,9,1.162,-2.889,-0.042544,-0.048679,0.000702,0.000705,1e-05,0.05
167,180,-4104,13,0,0,1.152,-2.863,-0.042731,-0.048229,0.000702,0.000704,1e-05,0.05
236,158,-4109,-2,-3,-6,1.189,-2.884,-0.042074,-0.048586,0.000702,0.000704,1e-05,0.05
175,141,-4112,-17,-2,0,1.205,-2.897,-0.041802,-0.048808,0.000702,0.000704,1e-05,0.05
192,160,-4109,8,-8,4,1.245,-2.823,-0.041109,-0.047528,0.000702,0.000703,1e-05,0.05
222,192,-4114,-2,7,-6,1.229,-2.877,-0.041385,-0.048472,0.000702,0.000703,1e-05,0.05
177,194,-4122,-14,-5,-17,1.147,-2.868,-0.042811,-0.04831,0.000702,0.000703,1e-05,0.05
201,151,-4109,-13,0,0,1.153,-2.838,-0.042711,-0.047792,0.000702,0.000703,1e-05,0.05
191,156,-4132,-36,0,2,1.133,-2.86,-0.043056,-0.048173,0.000702,0.000703,1e-05,0.05
176,198,-4103,-11,-8,20,1.089,-2.806,-0.043825,-0.04722,0.000702,0.000703,1e-05,0.05
225,229,-4099,27,-5,21,1.046,-2.8,-0.04457,-0.047131,0.000702,0.000704,1e-05,0.05
205,224,-4116,42,-5,-10,1.039,-2.831,-0.044697,-0.047668,0.000702,0.000703,1e-05,0.05
205,169,-4118,37,0,-16,1.096,-2.842,-0.0437,-0.047863,0.000702,0.000704,1e-05,0.05
215,99,-4130,20,-11,25,1.234,-2.836,-0.041302,-0.047757,0.000702,0.000704,1e-05,0.05
172,110,-4129,-16,-6,12,1.366,-2.803,-0.038989,-0.047172,0.000702,0.000705,1e-05,0.05
253,208,-4076,-2,11,-39,1.345,-2.813,-0.039365,-0.047346,0.000702,0.000705,1e-05,0.05
217,253,-4146,23,-30,-23,1.248,-2.934,-0.041055,-0.049455,0.000702,0.000706,1e-05,0.05
